iter	Passed	Remaining
0	10	1033
1	15	752
2	18	592
3	20	485
4	23	442
5	26	419
6	33	450
7	36	424
8	38	389
9	40	360
10	41	336
11	43	316
12	44	298
13	46	282
14	47	268
15	48	254
16	49	244
17	51	233
18	52	225
19	54	217
20	56	213
21	60	213
22	62	207
23	63	200
24	64	194
25	66	189
26	67	183
27	69	178
28	70	172
29	71	167
30	76	170
31	78	166
32	79	162
33	81	158
34	83	154
35	87	154
36	89	151
37	90	147
38	92	144
39	93	140
40	94	136
41	95	131
42	96	128
43	99	126
44	101	123
45	102	120
46	104	117
47	105	114
48	108	113
49	110	110
50	111	107
51	112	104
52	114	101
53	115	98
54	116	95
55	119	94
56	121	91
57	122	88
58	123	85
59	124	83
60	125	80
61	127	78
62	128	75
63	130	73
64	132	71
65	133	68
66	135	66
67	137	64
68	138	62
69	140	60
70	141	57
71	143	55
72	144	53
73	145	51
74	147	49
75	150	47
76	151	45
77	152	42
78	153	40
79	154	38
80	155	36
81	157	34
82	159	32
83	161	30
84	162	28
85	165	26
86	166	24
87	167	22
88	169	20
89	170	18
90	171	16
91	172	15
92	173	13
93	175	11
94	176	9
95	177	7
96	178	5
97	179	3
98	180	1
99	181	0
