iter	Passed	Remaining
0	154	154730
1	160	79970
2	165	55046
3	173	43175
4	179	35677
5	184	30483
6	188	26809
7	198	24560
8	203	22418
9	209	20721
10	217	19561
11	223	18400
12	229	17424
13	234	16518
14	240	15812
15	244	15007
16	247	14290
17	249	13595
18	251	12965
19	253	12400
20	255	11909
21	257	11438
22	259	11035
23	261	10646
24	263	10285
25	265	9933
26	266	9607
27	268	9309
28	269	9027
29	270	8760
30	272	8506
31	273	8269
32	274	8046
33	275	7832
34	276	7635
35	278	7445
36	279	7269
37	280	7094
38	282	6964
39	283	6809
40	284	6661
41	285	6519
42	286	6381
43	287	6249
44	288	6122
45	289	6004
46	290	5889
47	291	5778
48	292	5673
49	293	5571
50	294	5472
51	295	5380
52	296	5289
53	296	5202
54	297	5118
55	298	5038
56	299	4959
57	300	4883
58	301	4810
59	302	4739
60	303	4674
61	305	4618
62	306	4553
63	307	4492
64	308	4432
65	309	4376
66	310	4320
67	311	4264
68	312	4210
69	313	4158
70	313	4107
71	314	4058
72	315	4012
73	316	3966
74	317	3921
75	318	3876
76	319	3834
77	320	3793
78	321	3753
79	322	3712
80	323	3674
81	324	3637
82	325	3595
83	327	3568
84	328	3532
85	329	3497
86	330	3463
87	331	3431
88	331	3398
89	332	3365
90	333	3334
91	334	3305
92	335	3274
93	336	3245
94	337	3217
95	338	3189
96	339	3160
97	340	3134
98	341	3108
99	342	3083
100	343	3058
101	344	3034
102	345	3010
103	346	2986
104	347	2962
105	349	2951
106	350	2929
107	352	2907
108	352	2885
109	353	2863
110	354	2841
111	355	2821
112	356	2800
113	357	2780
114	358	2761
115	359	2741
116	360	2720
117	361	2701
118	362	2683
119	363	2665
120	364	2646
121	365	2627
122	366	2609
123	366	2592
124	367	2574
125	368	2558
126	369	2540
127	371	2528
128	372	2514
129	373	2502
130	375	2488
131	376	2474
132	377	2462
133	379	2452
134	380	2439
135	381	2426
136	383	2413
137	384	2400
138	385	2386
139	386	2372
140	387	2358
141	387	2342
142	388	2329
143	389	2316
144	390	2304
145	391	2291
146	392	2280
147	394	2270
148	395	2257
149	396	2245
150	397	2233
151	398	2220
152	398	2208
153	399	2196
154	400	2184
155	401	2173
156	402	2162
157	403	2151
158	404	2140
159	405	2129
160	406	2117
161	407	2107
162	408	2097
163	409	2087
164	410	2076
165	411	2066
166	412	2056
167	413	2045
168	413	2035
169	415	2029
170	416	2019
171	417	2009
172	418	2000
173	419	1991
174	420	1982
175	421	1973
176	422	1964
177	423	1954
178	424	1946
179	425	1937
180	426	1928
181	427	1919
182	428	1910
183	428	1902
184	429	1893
185	430	1885
186	431	1877
187	432	1869
188	433	1862
189	434	1854
190	435	1846
191	436	1838
192	438	1834
193	439	1826
194	440	1818
195	441	1811
196	442	1803
197	443	1796
198	444	1789
199	445	1781
200	446	1774
201	447	1767
202	448	1760
203	449	1753
204	450	1746
205	451	1738
206	452	1731
207	452	1724
208	453	1717
209	454	1711
210	455	1704
211	456	1698
212	457	1691
213	458	1684
214	460	1682
215	462	1677
216	463	1671
217	464	1664
218	465	1658
219	466	1652
220	467	1647
221	468	1641
222	469	1635
223	470	1629
224	471	1623
225	472	1617
226	473	1611
227	474	1605
228	475	1599
229	476	1593
230	476	1587
231	477	1582
232	478	1576
233	479	1570
234	480	1565
235	483	1564
236	484	1559
